class_index,filepaths,labels,card_type,data_set
0,train/ace_of_clubs/001.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/002.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/003.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/004.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/005.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/006.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/007.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/008.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/009.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/010.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/011.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/012.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/013.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/014.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/015.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/016.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/017.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/018.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/019.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/020.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/021.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/022.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/023.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/024.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/025.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/026.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/027.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/028.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/029.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/030.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/031.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/032.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/033.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/034.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/035.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/036.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/037.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/038.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/039.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/040.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/041.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/042.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/043.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/044.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/045.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/046.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/047.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/048.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/049.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/050.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/051.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/052.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/053.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/054.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/055.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/056.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/057.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/058.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/059.jpg,ace_of_clubs,ace,train
0,train/ace_of_clubs/060.jpg,ace_of_clubs,ace,train
